Year,Minke whale
1985,720000
1986,720000
1987,720000
1988,720000
1989,785000
1990,820833
1991,828666
1992,630833
1993,637999
1994,645166
1995,652333
1996,619666
1997,619000
1998,618333
1999,617666
2000,617000
2001,616333
2002,616166
2003,596000
2004,600200
2005,135200
2006,135200
2007,59100
2008,150350
2009,151600
2010,152850
2011,154100
2012,155350
2013,66600
2014,322550
2015,323800
2016,318700
2017,254700
2018,254700
2019,254700
