Year,Humpback Whale
1985,10230
1986,10230
1987,10230
1988,10230
1989,10230
1990,10230
1991,10230
1992,42000
1993,53600
1994,42000
1995,56600
1996,42000
1997,42000
1998,42000
1999,85000
2000,85000
2001,85300
2002,94750
2003,100750
2004,123150
2005,88010
2006,39180
2007,30530
2008,31887
2009,30675
2010,43962
2011,28250
2012,27037
2013,25825
2014,22912
2015,25900
2016,21200
2017,10700
2018,10700
