Year,Blue Whale
1978,450
1979,450
1980,450
1981,450
1982,450
1983,450
1984,450
1985,560
1986,560
1987,560
1988,560
1989,560
1990,560
1991,560
1992,2300
1993,2300
1994,2300
1995,2300
1996,2300
1997,2300
1998,2300
1999,2300
2000,2300
2001,2300
2002,2300
2003,2300
2004,2300
2005,2350
2006,2400
2007,2450
2008,2500
