"oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","y1_value","y2_value","y3_value","csquare","geom_wkt"
50703595,-67.7,41.5,"NOAA Northeast Fisheries Science Center (NEFSC)","Balaenoptera acutorostrata;Delphinus delphis;Mola mola","2280","2021-08-16","2021-08-17",3,39,3,,,,"7406:217:247","POLYGON((-67.7 41.4,-67.8 41.4,-67.8 41.5,-67.7 41.5,-67.7 41.4))"
50703596,-67.6,41.9,"NOAA Northeast Fisheries Science Center (NEFSC)","Delphinus delphis","2280","2021-08-16","2021-08-16",1,25,1,,,,"7406:217:495","POLYGON((-67.5 41.9,-67.6 41.9,-67.6 42,-67.5 42,-67.5 41.9))"
50703597,-67.8,42.0,"NOAA Northeast Fisheries Science Center (NEFSC)","Cetorhinus maximus","2280","2021-08-18","2021-08-18",1,1,1,,,,"7406:217:497","POLYGON((-67.7 41.9,-67.8 41.9,-67.8 42,-67.7 42,-67.7 41.9))"
50703600,-67.8,42.0,"NOAA Northeast Fisheries Science Center (NEFSC)","Delphinidae;Dermochelys coriacea;Prionace glauca","2280","2021-08-18","2021-09-14",5,16,3,,,,"7406:217:498","POLYGON((-67.8 41.9,-67.9 41.9,-67.9 42,-67.8 42,-67.8 41.9))"
50703604,-67.9,42.0,"NOAA Northeast Fisheries Science Center (NEFSC)","Delphinidae;Megaptera novaeangliae;Mola mola;Tursiops truncatus","2280","2021-08-18","2021-09-14",4,24,4,,,,"7406:217:499","POLYGON((-67.9 41.9,-68 41.9,-68 42,-67.9 42,-67.9 41.9))"
50703817,-67.8,42.1,"NOAA Northeast Fisheries Science Center (NEFSC)","Balaenoptera acutorostrata;Cetorhinus maximus;Mola mola;Phocidae;Tursiops truncatus","2280","2021-08-16","2021-09-14",6,34,5,,,,"7406:227:208","POLYGON((-67.8 42,-67.9 42,-67.9 42.1,-67.8 42.1,-67.8 42))"
50703821,-67.9,42.2,"NOAA Northeast Fisheries Science Center (NEFSC)","Chondrichthyes","2280","2021-09-14","2021-09-14",1,1,1,,,,"7406:227:219","POLYGON((-67.9 42.1,-68 42.1,-68 42.2,-67.9 42.2,-67.9 42.1))"
50703820,-67.8,42.2,"NOAA Northeast Fisheries Science Center (NEFSC)","Balaenoptera acutorostrata","2280","2021-08-04","2021-08-04",2,2,1,,,,"7406:227:217","POLYGON((-67.7 42.1,-67.8 42.1,-67.8 42.2,-67.7 42.2,-67.7 42.1))"
50703819,-67.5,42.2,"NOAA Northeast Fisheries Science Center (NEFSC)","Delphinus delphis;Mola mola","2280","2021-08-04","2021-08-04",2,251,2,,,,"7406:227:215","POLYGON((-67.5 42.1,-67.6 42.1,-67.6 42.2,-67.5 42.2,-67.5 42.1))"
50703807,-67.6,42.1,"NOAA Northeast Fisheries Science Center (NEFSC)","Chondrichthyes;Delphinidae;Prionace glauca","2280","2021-08-16","2021-09-14",4,22,3,,,,"7406:227:206","POLYGON((-67.6 42,-67.7 42,-67.7 42.1,-67.6 42.1,-67.6 42))"
50703812,-67.7,42.1,"NOAA Northeast Fisheries Science Center (NEFSC)","Chondrichthyes;Delphinidae;Mola mola;Prionace glauca;Tursiops truncatus","2280","2021-08-16","2021-09-14",11,44,5,,,,"7406:227:207","POLYGON((-67.7 42,-67.8 42,-67.8 42.1,-67.7 42.1,-67.7 42))"
50703804,-67.5,42.1,"NOAA Northeast Fisheries Science Center (NEFSC)","Cetorhinus maximus;Delphinidae;Delphinus delphis","2280","2021-08-17","2021-08-17",3,326,3,,,,"7406:227:205","POLYGON((-67.5 42,-67.6 42,-67.6 42.1,-67.5 42.1,-67.5 42))"
50703771,-67.4,42.1,"NOAA Northeast Fisheries Science Center (NEFSC)","Chondrichthyes;Delphinus delphis;Megaptera novaeangliae;Prionace glauca","2280","2021-08-17","2021-09-14",11,264,4,,,,"7406:227:104","POLYGON((-67.4 42,-67.5 42,-67.5 42.1,-67.4 42.1,-67.4 42))"
