Year,Right whale
1990,1493
1991,1607
1992,1722
1993,1836
1994,1951
1995,2065
1996,2180
1997,2294
1998,2409
1999,2523
2000,2638
2001,2884
2002,3131
2003,3378
2004,3625
2005,3872
2006,4118
2007,4365
2008,4612
2009,16079
2010,27120
2011,26133
2012,25746
2013,24942
2014,24139
2015,23335
2016,22532
2017,21728
2018,20925
2019,20121
2020,15430
