Year,Gray whale 
1995,21174
1996,21100
1997,21100
1998,21233
1999,18945
2000,"16,547"
2001,"16,582"
2002,16210
2003,17009
2004,18234
2005,19088
2006,19865
2007,20845
2008,19257
2009,20008
2010,"20,921"
2011,21003
2012,15629
2013,22329
2014,22815
2015,23717
2016,26884
2017,25344
2018,23761
2019,22228
2020,22740
2021,1834
2022,16650
